p, w, h, camera pass, build lookup, photon pass, consolidate
768, 32, 24, 0.0005443999999999999, 6.43e-05, 0.4811858, 1.1e-05
3072, 64, 48, 0.0020329, 0.00026120000000000006, 0.5203192999999999, 2.68e-05
12288, 128, 96, 0.0086833, 0.0032627000000000003, 0.7878573, 0.0001905
49152, 256, 192, 0.0324403, 0.047864899999999995, 1.1841108999999999, 0.000499
196608, 512, 384, 0.12300360000000002, 0.0940616, 3.9255356, 0.0019635
786432, 1024, 768, 0.4748112, 0.3767914, 16.5235311, 0.0098269
3145728, 2048, 1536, 1.8442833, 0.9277130000000001, 50.6280488, 0.0401549

default params, d, l, |S|, initial radius
value, 5, 200000, 9, 2.0
